Entry #,Core,BA,ROI #,Accuracy,DAN,DMN,FPCN,Limbic,SM,VAN,Visual
1,L Cun,7,165,64.3,12%,6%,0%,0%,0%,6%,75%
2,R SPL,7,255,63.35,44%,0%,12%,0%,0%,0%,44%
3,L ITG,20,3,64.15,12%,19%,25%,0%,6%,0%,38%
4,R STG,40,234,63.9,12%,25%,31%,0%,12%,19%,0%
5,R PCu,7,202,64.2,12%,6%,0%,0%,50%,19%,12%
6,L FuG,20,247,66.85,25%,6%,25%,6%,0%,0%,38%
7,R PrG,6,263,65.8,50%,0%,31%,0%,0%,12%,6%
8,L PrG,6,173,66.0,25%,0%,56%,0%,6%,6%,6%
9,L MFG,9,186,66.1,25%,0%,56%,0%,0%,0%,19%
10,R MFG,6,192,64.75,19%,12%,69%,0%,0%,0%,0%
